Rank,Beer,Brewery,State,ABV,Style
1,Good Morning,Tree House Brewing Company,Massachusetts,8.4,American Double / Imperial Stout
2,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,Iowa,12,American Double / Imperial Stout
3,Mornin' Delight,Toppling Goliath Brewing Company,Iowa,12,American Double / Imperial Stout
4,Pliny The Younger,Russian River Brewing Company,California,11,American Double / Imperial IPA
5,Heady Topper,The Alchemist,Vermont,8,American Double / Imperial IPA
6,Founders CBS Imperial Stout,Founders Brewing Company,Michigan,10.6,American Double / Imperial Stout
7,Dinner,Maine Beer Company,Maine,8.2,American Double / Imperial IPA
8,Julius,Tree House Brewing Company,Massachusetts,6.8,American IPA
9,Bourbon Barrel Aged Vanilla Bean Dark Lord,3 Floyds Brewing Co.,Indiana,15,Russian Imperial Stout
10,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgium,10.2,Quadrupel (Quad)
11,Pliny The Elder,Russian River Brewing Company,California,8,American Double / Imperial IPA
12,Bourbon County Brand Coffee Stout,Goose Island Beer Co.,Illinois,13.4,American Double / Imperial Stout
13,Double Sunshine IPA,Lawson's Finest Liquids,Vermont,8,American Double / Imperial IPA
14,Barrel-Aged Abraxas,Perennial Artisan Ales,Kansas,11,American Double / Imperial Stout
15,Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,Michigan,11.2,American Double / Imperial Stout
16,Sip Of Sunshine,Lawson's Finest Liquids,Vermont,8,American IPA
17,Focal Banger,The Alchemist,Vermont,7,American IPA
18,Abner,Hill Farmstead Brewery,Vermont,8.2,American Double / Imperial IPA
19,Citra Double IPA,Kern River Brewing Company,California,8,American Double / Imperial IPA
20,Fundamental Observation,Bottle Logic Brewing,California,14.3,American Double / Imperial Stout
21,Zombie Dust,3 Floyds Brewing Co.,Indiana,6.2,American Pale Ale (APA)
22,Parabola,Firestone Walker Brewing Co.,California,14,Russian Imperial Stout
23,King Sue,Toppling Goliath Brewing Company,Iowa,8,American Double / Imperial IPA
24,Triple Sunshine IPA,Lawson's Finest Liquids,Vermont,10.5,American Double / Imperial IPA
25,Artaic,Trillium Brewing Company,Massachusetts,8.5,American Double / Imperial IPA
26,Ann,Hill Farmstead Brewery,Vermont,6.5,Saison / Farmhouse Ale
27,In Perpetuity,Tree House Brewing Company,Massachusetts,6.7,American IPA
